no,plotTemp,plot,block,year,lat,lon,barrier_distance,treatment,shrubHeight,shrubCover,herbHeight,herbCover,soilCover,conf.low,conf.high,speciesrichness,shannon,simpson,therophytes,perennials,wood,reed_cover,sand_cover,gravel_cover
1,katu1,atu1,katu,Control,47.965153020344054,12.157067051640926,NA,Embankment removal,0,0,120,100,0,1,1,7,1.6099809107561278,0.7744378698224852,2,5,0,32.5,0,0
2,katu2,atu2,katu,Control,47.96477528930211,12.15706590187914,NA,Embankment removal,0,0,120,100,0,2,2,4,1.023283239868256,0.5871056241426613,1,3,0,5,0,0
3,katu3,atu3,katu,Control,47.96531492345356,12.157054153175647,NA,Embankment removal,0,0,200,100,0,3,3,4,1.3437521330668272,0.729766803840878,1,3,0,150,0,0
4,katu4,atu4,katu,Control,47.965674832665876,12.156934726239912,NA,Embankment removal,0,0,150,100,0,4,4,4,1.0710178890244566,0.5813148788927336,1,3,0,110,0,0
5,katu5,atu5,katu,Control,47.965872673385135,12.156948719382962,NA,Embankment removal,0,0,200,100,0,5,5,6,1.4652196493642395,0.7362500000000001,2,4,0,75,0,0
6,kheu1,heu1,kheu,Control,48.138015901164245,12.265098269445605,NA,Embankment removal,0,0,40,100,0,6,6,8,1.6991640624053812,0.786178683614581,2,6,0,10,0,0
7,kheu2,heu2,kheu,Control,48.138151327949316,12.264870553252605,NA,Embankment removal,0,0,60,100,0,7,7,8,1.41035624694669,0.6888841675227075,2,6,0,100,0,0
8,kheu3,heu3,kheu,Control,48.13786230083287,12.265406507207583,NA,Embankment removal,0,0,50,95,1,8,8,10,1.6872629098489615,0.7812954003453852,1,8,1,10,0,0
9,kheu4,heu4,kheu,Control,48.137825923355926,12.265580988505285,NA,Embankment removal,0,0,60,100,2.5,9,9,6,1.2707986337676496,0.6819021580696978,2,4,0,80,0,0
10,kheu5,heu5,kheu,Control,48.13782567434399,12.26568847598045,NA,Embankment removal,0,0,110,100,2.5,10,10,8,0.828078272758717,0.4228245296280275,2,5,1,6,0,0
11,krou1,rou1,krou,Control,48.0225283169428,12.178088448935974,NA,Embankment removal,0,0,30,80,20,11,11,8,1.1435363378228567,0.6029022266008339,0,7,1,2.5,50,0
12,krou2,rou2,krou,Control,48.02252854625339,12.17794098266305,NA,Embankment removal,0,0,15,90,15,12,12,8,1.2280914009864168,0.6098734669739911,0,8,0,10,50,0
13,krou3,rou3,krou,Control,48.02256412403667,12.17819582155698,NA,Embankment removal,0,0,10,60,40,13,13,7,1.0660341627087353,0.5694060414984883,0,6,1,1,40,0
