name,descriptor,family,lifeform,growthform,l,t,k,f,r,n,sociology,rlg,rlb,neo
Acer_campestre,L.,Aceraceae,P,wood,5,6,4,5,7,6,8400,*,na,0
Acer_pseudoplatanus,L.,Aceraceae,P,wood,4,na,4,6,na,7,8430,*,na,0
Achillea_millefolium,L.,Asteraceae,N,perennial,8,na,na,4,na,5,5420,*,na,0
Aegopodium_podagraria,L.,Apiaceae,N,perennial,5,5,3,6,7,8,3531,*,na,0
Agrostis_gigantea,Roth,Poaceae,N,perennial,7,5,3,8,7,6,5400,*,na,0
Agrostis_stolonifera,L.,Poaceae,na,na,3,5,3,5,7,5,8430,*,na,0
Alnus_glutinosa,(L.) Gaertn.,Betulaceae,P,wood,6,4,5,7,8,na,8433,*,na,0
Alnus_incana,(L.) Moench,Betulaceae,P,wood,5,5,3,9,6,na,8211,*,na,0
Alopecurus_aequalis,Sobol.,Poaceae,H_T,annual_biennial,9,na,5,9,na,9,3210,*,na,0
Arabidopsis_arenosa,(L.) Lawalrée,Brassicaceae,N,biennial,9,na,4,4,6,2,na,*,na,0
Arenaria_serpyllifolia,L.,Caryophyllaceae,T,annual,8,na,na,4,7,na,na,*,na,0
Barbarea_stricta,Andrz. ex Besser,Brassicaceae,N,biennial,8,6,7,7,7,8,3531,*,2,0
Berula_erecta,(Huds.) Coville,Apiaceae,N,perennial,8,6,3,10,8,6,1513,*,na,0
Betula_pendula,Roth,Betulaceae,P,wood,7,na,na,na,na,na,na,*,na,0
Brachypodium_pinnatum,(L.) P.Beauv.,Poaceae,N,perennial,6,5,5,4,7,4,5300,*,na,0
Brachypodium_sylvaticum,(Huds.) P.Beauv,Poaceae,N,perennial,3,5,3,5,6,6,8400,*,na,0
Bromus_erectus,Huds.,Poaceae,N,perennial,8,5,2,3,8,3,5320,*,na,0
Calamagrostis_epigejos,(L.) Roth,Poaceae,N,perennial,7,5,7,na,na,6,na,*,na,0
Calamagrostis_pseudophragmites,(Haller f.) Koeler,Poaceae,N,perennial,8,6,8,7,9,3,4441,2,2,0
Calystegia_sepium,(L.) R. Br.,Convolvulaceae,N,perennial,8,6,5,6,7,9,3520,*,na,0
Cardamine_impatiens,L.,Brassicaceae,H_T,annual,5,na,4,6,7,8,3532,*,na,0
Carduus_personata,(L.) Jacq.,Asteraceae,N,biennial,7,4,2,8,8,8,na,*,na,0
Carex_acuta,L.,Cyperaceae,na,perennial,na,na,na,na,na,na,na,*,na,0
Carex_acutiformis,Ehrh.,Cyperaceae,N,perennial,8,5,3,10,8,8,1513,*,na,0
Carex_cuprina,(Sándor ex Heuff.) Nendtv. ex A.Kern.,Cyperaceae,N,perennial,6,6,2,8,7,6,8433,V,na,0
Carex_elata,All.,Cyperaceae,N,perennial,8,na,2,10,na,5,1514,*,na,0
Carex_elongata,L.,Cyperaceae,N,perennial,4,6,3,9,7,6,8211,*,3,0
Carex_flacca,Schreb.,Cyperaceae,N,perennial,7,na,3,6,8,na,na,*,na,0
Carex_hirta,L.,Cyperaceae,N,perennial,7,6,3,6,na,5,3810,*,na,0
Carex_hostiana,DC.,Cyperaceae,N,perennial,8,5,2,9,6,2,1721,2,3,0
Carex_nigra,(L.) Reichard,Cyperaceae,N,perennial,8,na,3,8,3,2,1730,*,na,0
Carex_pseudocyperus,L.,Cyperaceae,N,perennial,7,6,3,9,6,5,1510,*,3,0
Carlina_vulgaris,L.,Asteraceae,H_T,perennial,7,6,3,6,na,4,5400,*,na,0
Carpinus_betulus,L.,Betulaceae,P,wood,4,6,4,na,na,na,8432,*,na,0
Centaurium_erythraea,Rafn,Gentianaceae,H_T,annual_biennial,8,6,5,5,6,6,6210,V,na,0
Chaenorhinum_minus,(L.) Lange,Scrophulariaceae,T,summer_annual,8,6,3,4,8,5,3300,*,na,0
Cirsium_arvense,(L.) Scop.,Asteraceae,N,perennial,8,5,na,na,na,7,3000,*,na,0
Cirsium_oleraceum,(L.) Scop.,Asteraceae,N,perennial,6,na,3,7,8,5,5415,*,na,0
Cirsium_palustre,(L.) Scop.,Asteraceae,N,perennial,7,5,3,8,4,3,5410,*,na,0
Cirsium_vulgare,(Savi) Ten.,Asteraceae,N,biennial,8,5,3,5,7,8,3500,*,na,0
Clematis_vitalba,L.,Ranunculaceae,N,wood,7,6,3,5,7,7,8410,*,na,0
Cornus_sanguinea,L.,Cornaceae,P,wood,7,5,4,5,7,na,8410,*,na,0
Coryllus_avellana,L.,Betulaceae,P,wood,6,5,3,na,na,5,8400,*,na,0
Dactylis_glomerata,L.,Poaceae,N,perennial,7,na,3,5,na,6,na,*,na,0
Deschampsia_cespitosa,P.Beauv.,Poaceae,N,perennial,6,na,na,7,na,3,na,*,na,0
Echinochloa_crus-galli,(L.) P.Beauv.,Poaceae,T,summer_annual,6,7,5,5,na,8,3000,*,na,0
Eleocharis_mamillata,(H.Lindb.)H.Lindb.,Cyperaceae,N,perennial,8,5,na,10,4,3,1712,*,3,0
Eleocharis_palustris,(L.) Roem. & Schult.,Cyperaceae,N,perennial,8,na,na,10,na,?,1510,*,*,0
Elymus_repens,(L.) Gould,Poaceae,N,perennial,7,na,3,4,na,3,5420,*,na,0
Epilobium_hirsutum,L.,Onagraceae,N,na,7,5,5,8,8,8,3521,*,na,0
Epilobium_parviflorum,Schreb.,Onagraceae,N,perennial,7,5,3,9,8,6,1513,*,na,0
Epilobium_tetragonum,L.,Onagraceae,N,perennial,7,6,4,8,6,5,3000,*,na,0
Equisetum_arvense,L.,Equisetaceae,N,perennial,6,na,na,6,na,3,na,*,na,0
Equisetum_hyemale,L.,Equisetaceae,N,perennial,5,5,5,7,7,6,8433,*,na,0
Equisetum_palustre,L.,Equisetaceae,N,perennial,7,na,5,8,na,3,5410,*,na,0
Equisetum_variegatum,Schleich. ex F. Weber & D. Mohr,Equisetaceae,N,perennial,8,3,7,9,8,2,1722,2,3,0
Erigeron_acris,L.,Asteraceae,H_T,na,9,5,7,4,8,2,5322,*,na,0
Erigeron_annuus,(L.) Pers.,Asteraceae,N,na,7,6,na,6,na,8,3500,*,na,0
Erigeron_canadensis,L.,Asteraceae,H_T,annual,8,6,na,4,na,5,3330,*,na,0
Euonymus_europaeus,L.,Celastraceae,P,wood,6,5,3,5,8,5,8410,*,na,0
Eupatorium_cannabinum,L.,Asteraceae,N,perennial,6,na,na,8,na,na,3521,*,na,0
Euphorbia_cyparissias,L.,Euphorbiaceae,N,perennial,8,na,4,3,na,3,5300,*,na,0
Festuca_arundinacea,Schreb.,Poaceae,N,perennial,8,5,na,7,7,4,3811,*,na,0
Festuca_spec,na,Poaceae,N,na,na,na,na,na,na,na,na,na,na,na
Filipendula_ulmaria,(L.) Maxim.,Rosaceae,N,perennial,7,5,na,8,na,4,5412,*,na,0
Fragaria_vesca,L.,Rosaceae,N,perennial,7,na,5,5,na,6,6200,*,na,0
Fraxinus_excelsior,L.,Oleaceae,P,wood,7,7,3,5,6,5,3310,*,na,0
Galium_anisophyllon,Vill.,Rubiaceae,N,perennial,na,na,na,na,na,na,na,*,na,0
Galium_aparine,L.,Rubiaceae,T,annual,7,6,3,na,6,8,3500,*,na,0
Galium_mollugo,L.,Rubiaceae,N,perennial,7,6,3,4,7,?,na,*,na,0
Geranium_robertianum,L.,Geraniaceae,H_T,annual,5,na,3,na,na,7,3532,*,na,0
Glechoma_hederacea,L.,Lamiaceae,N,perennial,6,6,3,6,na,7,3530,*,na,0
Hedera_helix,L.,Araliaceae,N,wood,4,5,2,5,na,na,na,*,na,0
Herniaria_glabra,L.,Caryophyllaceae,H_T,na,8,6,5,3,4,2,5200,*,na,0
Hippuris_vulgaris,L.,Hippuridaceae,N,na,7,5,na,10,8,na,1511,3,3,0
Holcus_lanatus,L.,Poaceae,N,perennial,9,6,na,9,7,9,3211,*,na,0
Humulus_lupulus,L.,Cannabaceae,N,perennial,7,6,3,8,6,8,8000,*,na,0
Hypericum_maculatum,Crantz,Hypericaceae,N,perennial,8,na,3,6,3,2,5100,*,na,0
Hypericum_perforatum,L.,Hypericaceae,N,perennial,7,6,5,4,6,3,6100,*,na,0
Impatiens_glandulifera,Royle,Balsaminaceae,T,summer_annual,5,7,2,8,7,7,3520,*,na,1
Iris_pseudacorus,L.,Iridaceae,N,perennial,4,na,4,7,5,7,1510,*,na,0
Isolepis_setacea,(L.) R.Br.,Cyperaceae,H_T,na,6,5,2,9,5,3,3111,V,na,0
Jacobaea_aquatica,"(Hill) ""G.Gaerthn.. B.Mey. & Schreb.""",Asteraceae,N,perennial,7,6,2,8,4,5,5415,V,na,0
Juncus_acutiflorus,Ehrh. Ex Hoffm,Juncaceae,N,perennial,9,6,2,8,5,3,5414,*,na,0
Juncus_articulatus,L.,Juncaceae,N,perennial,8,na,3,9,na,2,1700,*,na,0
Juncus_bulbosus,L.,Juncaceae,N,perennial,6,6,2,10,5,2,1410,*,na,0
Juncus_conglomeratus,L.,Juncaceae,N,perennial,8,5,3,7,4,3,5410,*,na,0
Juncus_effusus,L.,Juncaceae,N,perennial,8,5,3,7,3,4,5410,*,na,0
Juncus_inflexus,L.,Juncaceae,N,perennial,8,5,3,7,8,4,3811,*,na,0
Juncus_tenuis,Willd.,Juncaceae,N,perennial,6,6,3,6,5,5,3711,*,na,0
Lamium_galeobdolon,(L.) L.,Lamiaceae,N,perennial,3,5,4,5,7,5,8430,*,na,0
Lamium_maculatum,(L.) L.,Lamiaceae,N,perennial,5,na,4,6,7,8,na,*,na,0
Lonicera_xylosteum,L.,Caprifoliaceae,P,wood,5,6,4,5,7,6,8400,*,na,0
Lycopus_europaeus,L.,Lamiaceae,N,perennial,7,6,5,9,7,7,1500,*,na,0
Lysimachia_nummularia,L.,Primulaceae,N,perennial,4,6,4,6,na,na,na,*,na,0
Lythrum_salicaria,L.,Lythraceae,N,perennial,7,5,5,8,6,na,5412,*,na,0
Matricaria_chamomilla,L.,Asteraceae,T,annual,7,6,5,5,5,5,3421,*,na,0
Medicago_lupulina,L.,Fabaceae,H_T,na,7,5,na,4,8,na,5322,*,na,0
Melilotus_officinalis,(L.) Pall.,Fabaceae,N,annual_biennial,8,6,6,3,8,3,3542,*,na,0
Mentha_aquatica,L.,Lamiaceae,N,perennial,7,5,3,9,7,5,1510,*,na,0
Mentha_longifolia,(L.) L.,Lamiaceae,N,perennial,7,5,4,8,9,7,3811,*,na,0
Myosotis_scorpioides,L.,Boraginaceae,na,na,4,na,na,6,na,na,na,*,na,0
Phalaris_arundinacea,L.,Poaceae,N,perennial,7,5,na,9,7,7,1510,*,na,0
Phragmites_australis,(Cav.) Trin. ex Steud.,Poaceae,N,perennial,7,5,na,10,7,7,1511,*,na,0
Pilosella_officinarum,Vaill.,Asteraceae,N,perennial,7,na,3,4,na,2,5000,*,na,0
Pilosella_piloselloides,(Vill.) Soják+,Asteraceae,N,perennial,9,6,4,4,8,2,4441,*,na,0
Plantago_lanceolata,L.,Plantaginaceae,N,perennial,6,na,3,na,na,na,5400,*,na,0
Plantago_major,L.,Plantaginaceae,N,perennial,8,na,na,5,na,6,3710,*,na,0
Poa_annua,L.,Poaceae,T,na,7,na,5,6,na,8,na,*,na,0
Poa_compressa,L.,Poaceae,N,perennial,9,na,4,3,9,3,5424,*,na,0
Poa_palustris,L.,Poaceae,N,perennial,7,5,5,9,8,7,1510,*,na,0
Poa_pratensis,L.,Poaceae,N,perennial,6,na,na,5,na,6,5400,*,na,0
Poa_trivalis,L.,Poaceae,N,perennial,6,na,3,7,na,7,5400,*,na,0
Populus_nigra,L.,Salicaceae,P,wood,5,6,6,8,7,7,8112,3,na,0
Potentilla_anserina,L.,Rosaceae,N,perennial,7,6,na,6,na,7,3811,*,na,0
Potentilla_erecta,(L.) Raeusch.,Rosaceae,N,perennial,6,na,3,na,na,2,5100,*,na,0
Potentilla_neumanniana,Rchb.,Rosaceae,N,perennial,na,na,na,na,na,na,na,*,na,0
Potentilla_reptans,L.,Rosaceae,N,perennial,6,6,3,6,7,5,3811,*,na,0
Potentilla_sterilis,(L.) Garcke,Rosaceae,N,perennial,5,5,2,5,6,6,8432,*,na,0
Prunella_vulgaris,L.,Lamiaceae,N,perennial,7,na,3,5,7,na,5400,*,na,0
Ranunculus_acris,L.,Ranunculaceae,N,perennial,7,na,3,6,na,na,5400,*,na,0
Ranunculus_repens,L.,Ranunculaceae,N,perennial,6,na,na,7,na,na,na,*,na,0
Reseda_lutea,L.,Resedaceae,N,annual_biennial,7,6,3,3,8,5,3540,*,na,0
Rhinanthus_glacialis,Personnat,Scrophulariaceae,T,na,7,5,3,6,7,2,na,3,3,0
Rorippa_palustris,(L.) Besser,Brassicaceae,T,na,7,na,na,8,na,8,na,*,na,0
Rubus_caesius,L.,Rosaceae,N,wood,6,5,4,na,8,7,na,*,na,0
